epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.3251,0.84989,3.32612,1.15866,0.003,1,0.96278,0.81365,0.51455,3.15605,0.79711,0.00012,0.00012,0.00012
2,104.089,0.69584,1.90865,0.99055,0.80796,1,0.975,0.78217,0.65808,2.88209,0.83134,0.000254852,0.000254852,0.000254852
3,146.125,0.69544,1.4871,0.95735,0.00648,1,0.984,0.84553,0.62031,3.11592,0.85579,0.00038416,0.00038416,0.00038416
4,187.74,0.75703,1.54712,1.02376,1,0.78432,0.995,0.84952,0.5515,2.92856,0.84677,0.000507924,0.000507924,0.000507924
5,231.815,0.73892,1.31974,0.99016,1,0.78877,0.975,0.78925,0.66251,2.8359,0.82918,0.000626144,0.000626144,0.000626144
6,274.308,0.72379,1.29392,0.93916,1,0.66206,0.92804,0.79965,0.56836,2.90447,0.84176,0.00073882,0.00073882,0.00073882
7,315.051,0.78044,1.2081,1.00339,1,0.70525,0.88394,0.75753,0.64463,2.69964,0.87781,0.000845952,0.000845952,0.000845952
8,356.166,0.80072,1.308,0.97636,1,0.75329,0.96278,0.75871,0.78422,2.65207,0.89771,0.00094754,0.00094754,0.00094754
9,396.28,0.74817,1.27569,0.98036,0.98728,1,0.995,0.8148,0.80066,1.79962,0.8674,0.00104358,0.00104358,0.00104358
10,435.547,0.75346,1.23043,0.96806,0.99121,1,0.995,0.75448,0.86691,1.75418,0.89742,0.00113408,0.00113408,0.00113408
11,492.476,0.80601,1.21323,0.99156,0.98877,1,0.995,0.77158,0.89567,1.64981,0.86868,0.00121904,0.00121904,0.00121904
12,539.214,0.66556,1.13011,0.96199,1,0.87399,0.984,0.87737,0.52646,1.73154,0.83312,0.00129845,0.00129845,0.00129845
13,583.138,0.72145,1.16048,0.95175,0.87114,0.75373,0.87518,0.68374,0.81393,2.03586,0.91864,0.00137232,0.00137232,0.00137232
14,625.621,0.7447,1.06024,0.95292,0.99301,1,0.995,0.84031,0.62998,1.42345,0.83674,0.00144064,0.00144064,0.00144064
15,667.996,0.7072,1.03481,0.95979,0.99222,1,0.995,0.76334,0.74498,1.46207,0.86014,0.0014456,0.0014456,0.0014456
16,711.413,0.73319,1.10923,0.97285,0.99048,1,0.995,0.83978,0.67236,1.25149,0.8323,0.001406,0.001406,0.001406
17,755.468,0.76493,1.04027,1.01305,0.99282,1,0.995,0.81583,0.73509,1.28109,0.85049,0.0013664,0.0013664,0.0013664
18,797.522,0.73752,1.03149,1.01625,0.98729,1,0.995,0.8336,0.62227,1.37436,0.84718,0.0013268,0.0013268,0.0013268
19,839.628,0.66915,0.98772,0.96429,0.99425,1,0.995,0.86622,0.57087,1.15169,0.80902,0.0012872,0.0012872,0.0012872
20,881.523,0.65893,0.88478,0.95587,0.99009,1,0.995,0.86937,0.57846,1.13138,0.80234,0.0012476,0.0012476,0.0012476
21,923.821,0.67901,0.85961,0.94927,0.97919,1,0.995,0.83555,0.63324,1.26732,0.82731,0.001208,0.001208,0.001208
22,965.747,0.67701,0.8269,0.94062,0.91343,1,0.995,0.82678,0.69875,1.21642,0.81551,0.0011684,0.0011684,0.0011684
23,1007.73,0.62834,0.78083,0.93002,0.98172,1,0.995,0.87224,0.61998,0.99605,0.8166,0.0011288,0.0011288,0.0011288
24,1049.46,0.60932,0.80448,0.95502,0.99449,1,0.995,0.87134,0.62485,0.96533,0.81415,0.0010892,0.0010892,0.0010892
25,1093.58,0.65766,0.83679,0.94069,0.99463,1,0.995,0.86421,0.5731,1.02327,0.80901,0.0010496,0.0010496,0.0010496
26,1136.2,0.65341,0.76541,0.9347,0.99502,1,0.995,0.8793,0.54516,0.91439,0.82094,0.00101,0.00101,0.00101
27,1178.26,0.60156,0.74672,0.90766,0.99272,1,0.995,0.85856,0.59463,0.86994,0.83723,0.0009704,0.0009704,0.0009704
28,1220.53,0.60663,0.69101,0.92986,0.99557,1,0.995,0.86332,0.60889,0.79008,0.82245,0.0009308,0.0009308,0.0009308
29,1263.29,0.56795,0.75095,0.90697,0.99643,1,0.995,0.86332,0.57942,0.79698,0.7936,0.0008912,0.0008912,0.0008912
30,1306.09,0.60696,0.76893,0.92353,1,0.99601,0.995,0.85998,0.5894,0.85464,0.79258,0.0008516,0.0008516,0.0008516
31,1348.25,0.59835,0.69751,0.89307,1,0.99516,0.995,0.86619,0.55359,0.79479,0.77806,0.000812,0.000812,0.000812
32,1390.13,0.60838,0.7291,0.92771,0.99447,1,0.995,0.89437,0.53178,0.73489,0.77172,0.0007724,0.0007724,0.0007724
33,1444.09,0.58567,0.68397,0.917,0.99402,1,0.995,0.91422,0.5127,0.70724,0.77613,0.0007328,0.0007328,0.0007328
34,1518.65,0.53715,0.6423,0.89291,0.9932,1,0.995,0.90343,0.46183,0.65962,0.76637,0.0006932,0.0006932,0.0006932
35,1608.21,0.54672,0.61209,0.90847,0.99099,1,0.995,0.92983,0.47847,0.68032,0.76395,0.0006536,0.0006536,0.0006536
36,1714.78,0.50083,0.60841,0.91707,0.99096,1,0.995,0.86428,0.57324,0.67062,0.78903,0.000614,0.000614,0.000614
37,1834.32,0.53779,0.64882,0.90157,0.9936,1,0.995,0.84207,0.64038,0.67992,0.80328,0.0005744,0.0005744,0.0005744
38,1924.35,0.55041,0.61819,0.89454,0.99472,1,0.995,0.8363,0.59929,0.6269,0.79569,0.0005348,0.0005348,0.0005348
39,2049.49,0.50404,0.60007,0.89635,0.99475,1,0.995,0.8988,0.53808,0.61394,0.78206,0.0004952,0.0004952,0.0004952
40,2115.78,0.46875,0.56966,0.87845,0.99459,1,0.995,0.90753,0.47445,0.58283,0.76974,0.0004556,0.0004556,0.0004556
41,2192.76,0.44334,0.66347,0.84393,0.99437,1,0.995,0.90753,0.46359,0.5856,0.76392,0.000416,0.000416,0.000416
42,2262.72,0.39757,0.6158,0.81991,0.99408,1,0.995,0.9034,0.49921,0.60925,0.76386,0.0003764,0.0003764,0.0003764
43,2336.3,0.40003,0.6208,0.81627,0.99365,1,0.995,0.875,0.49231,0.61449,0.76762,0.0003368,0.0003368,0.0003368
44,2398.47,0.42382,0.64162,0.85292,0.99402,1,0.995,0.89383,0.4836,0.63121,0.76369,0.0002972,0.0002972,0.0002972
45,2453.43,0.38101,0.61089,0.8325,0.99417,1,0.995,0.89934,0.49508,0.62671,0.76564,0.0002576,0.0002576,0.0002576
46,2510.58,0.36507,0.57614,0.85126,0.99427,1,0.995,0.89853,0.50116,0.59916,0.76274,0.000218,0.000218,0.000218
47,2566.87,0.37407,0.57774,0.82004,0.99448,1,0.995,0.89522,0.5331,0.57728,0.76202,0.0001784,0.0001784,0.0001784
48,2621.09,0.35937,0.54566,0.82447,0.99463,1,0.995,0.89113,0.54649,0.56413,0.75932,0.0001388,0.0001388,0.0001388
49,2674.62,0.36888,0.56238,0.83882,0.99471,1,0.995,0.89113,0.54427,0.56872,0.75772,9.92e-05,9.92e-05,9.92e-05
50,2727.26,0.34308,0.54112,0.80367,0.99499,1,0.995,0.88225,0.53709,0.56367,0.75649,5.96e-05,5.96e-05,5.96e-05
